# realtime, hour, min, alt, baseline, rate, SC
44668.607638890 02 35 69.77 114.88 343.93 0.24
44668.608333335 02 36 69.99 114.99 344.03 0.24
44668.609027779 02 37 70.22 115.09 344.14 0.23
44668.609722224 02 38 70.44 115.20 344.24 0.23
44668.610416668 02 39 70.67 115.31 344.34 0.23
44668.611111112 02 40 70.89 115.41 344.44 0.23
44668.611805557 02 41 71.12 115.52 344.59 0.23
44668.612500001 02 42 71.34 115.62 344.80 0.23
44668.613194446 02 43 71.56 115.72 345.00 0.23
44668.613888890 02 44 71.79 115.82 345.20 0.23
44668.614583335 02 45 72.01 115.92 345.40 0.23
44668.615277779 02 46 72.24 116.02 345.50 0.23
44668.615972224 02 47 72.46 116.11 345.61 0.23
44668.616666668 02 48 72.68 116.21 345.71 0.23
44668.617361112 02 49 72.91 116.30 345.81 0.23
44668.618055557 02 50 73.13 116.40 345.91 0.23
44668.618750001 02 51 73.35 116.49 346.01 0.23
44668.619444446 02 52 73.58 116.58 346.11 0.22
44668.620138890 02 53 73.80 116.67 346.21 0.22
44668.620833335 02 54 74.02 116.76 346.31 0.22
44668.621527779 02 55 74.25 116.84 346.42 0.22
44668.622222224 02 56 74.47 116.93 346.52 0.22
44668.622916668 02 57 74.69 117.01 346.62 0.22
44668.623611112 02 58 74.92 117.10 346.72 0.22
44668.624305557 02 59 75.14 117.18 346.82 0.22
44668.625000001 03 00 75.36 117.26 346.92 0.22
44668.625694446 03 01 75.58 117.34 347.02 0.22
44668.626388890 03 02 75.81 117.42 347.12 0.22
44668.627083335 03 03 76.03 117.50 347.22 0.22
44668.627777779 03 04 76.25 117.58 347.32 0.22
44668.628472224 03 05 76.47 117.65 347.42 0.22
44668.629166668 03 06 76.69 117.72 347.52 0.22
44668.629861112 03 07 76.91 117.80 347.62 0.22
44668.630555557 03 08 77.14 117.87 347.66 0.22
44668.631250001 03 09 77.36 117.94 347.66 0.22
44668.631944446 03 10 77.58 118.01 347.66 0.22
44668.632638890 03 11 77.80 118.08 347.66 0.21
44668.633333335 03 12 78.02 118.15 347.67 0.21
44668.634027779 03 13 78.24 118.21 347.77 0.21
44668.634722224 03 14 78.46 118.28 347.87 0.21
44668.635416668 03 15 78.68 118.34 347.97 0.21
44668.636111113 03 16 78.90 118.40 348.07 0.21
44668.636805557 03 17 79.12 118.47 348.17 0.21
44668.637500001 03 18 79.34 118.53 348.27 0.21
44668.638194446 03 19 79.55 118.59 348.37 0.21
44668.638888890 03 20 79.77 118.64 348.47 0.21
44668.639583335 03 21 79.99 118.70 348.56 0.21
44668.640277779 03 22 80.21 118.76 348.57 0.21
44668.640972224 03 23 80.42 118.81 348.57 0.21
44668.641666668 03 24 80.64 118.87 348.57 0.21
44668.642361113 03 25 80.85 118.92 348.57 0.21
44668.643055557 03 26 81.07 118.97 348.60 0.21
44668.643750001 03 27 81.28 119.02 348.70 0.21
44668.644444446 03 28 81.50 119.07 348.79 0.21
44668.645138890 03 29 81.71 119.12 348.89 0.21
44668.645833335 03 30 81.92 119.17 348.99 0.21
44668.646527779 03 31 82.13 119.21 349.02 0.21
44668.647222224 03 32 82.34 119.26 349.02 0.21
44668.647916668 03 33 82.55 119.30 349.02 0.21
44668.648611113 03 34 82.76 119.34 349.02 0.21
44668.649305557 03 35 82.97 119.39 349.02 0.21
44668.650000001 03 36 83.17 119.43 349.10 0.21
44668.650694446 03 37 83.38 119.47 349.19 0.21
44668.651388890 03 38 83.58 119.51 349.29 0.21
44668.652083335 03 39 83.78 119.54 349.38 0.21
44668.652777779 03 40 83.98 119.58 349.47 0.21
44668.653472224 03 41 84.18 119.62 349.48 0.21
44668.654166668 03 42 84.37 119.65 349.48 0.20
44668.654861113 03 43 84.56 119.68 349.48 0.20
44668.655555557 03 44 84.75 119.72 349.48 0.20
44668.656250001 03 45 84.94 119.75 349.48 0.20
44668.656944446 03 46 85.12 119.78 349.48 0.20
44668.657638890 03 47 85.30 119.81 349.48 0.20
44668.658333335 03 48 85.47 119.84 349.48 0.20
44668.659027779 03 49 85.64 119.86 349.48 0.20
44668.659722224 03 50 85.81 119.89 349.48 0.20
44668.660416668 03 51 85.96 119.91 349.48 0.20
44668.661111113 03 52 86.12 119.94 349.53 0.20
44668.661805557 03 53 86.26 119.96 349.59 0.20
44668.662500001 03 54 86.39 119.99 349.65 0.20
44668.663194446 03 55 86.52 120.01 349.71 0.20
44668.663888890 03 56 86.63 120.03 349.76 0.20
44668.664583335 03 57 86.73 120.05 349.81 0.20
